           0 -0.976249993       27608.2246    
         110  -1.54187500       15212.8457    
         111  -1.52499998       14881.6748    
         112  -1.52750003       14930.5068    
         113  -1.54250002       15225.1807    
         114  -1.54750001       15324.0459    
         115  -1.53875005       15151.2422    
         116  -1.53499997       15077.4834    
         117  -1.53375006       15052.9375    
         118  -1.51437497       14675.0293    
         119  -1.52750003       14930.5068    
         120  -1.50937498       14578.2842    
         121  -1.51187503       14626.6162    
         122  -1.50000000       14397.7500    
         123  -1.51687503       14723.5215    
         124  -1.52499998       14881.6748    
         125  -1.51250005       14638.7119    
         126  -1.49187505       14242.1973    
         127  -1.53125000       15003.9053    
         128  -1.52999997       14979.4189    
         129  -1.52750003       14930.5068    
         130  -1.51374996       14662.9189    
         131  -1.56500006       15672.5908    
         132  -1.54312503       15237.5215    
         133  -1.50874996       14566.2139    
         134  -1.54124999       15200.5146    
         135  -1.52874994       14954.9531    
         136  -1.50062501       14409.7510    
         137  -1.52437496       14869.4795    
         138  -1.51499999       14687.1455    
         139  -1.52625000       14906.0811    
         140  -1.51312494       14650.8135    
         141  -1.57000005       15772.8955    
         142  -1.57749999       15923.9521    
         143  -1.54375005       15249.8672    
         144  -1.55187500       15410.8145    
         145  -1.54999995       15373.5977    
         146  -1.53687501       15114.3398    
         147  -1.55499995       15472.9424    
         148  -1.55250001       15423.2295    
         149  -1.53937495       15163.5527    
         150  -1.53250003       15028.4111    
         151  -1.58000004       15974.4639    
         152  -1.58749998       16126.4795    
         153  -1.56750000       15722.7031    
         154  -1.57562494       15886.1201    
         155  -1.56812501       15735.2432    
         156  -1.53687501       15114.3398    
         157  -1.54437494       15262.2178    
         158  -1.54999995       15373.5977    
         159  -1.52562499       14893.8750    
         160  -1.53812504       15138.9365    
         161  -1.55124998       15398.4033    
         162  -1.53312504       15040.6719    
         163  -1.54937506       15361.2021    
         164  -1.53250003       15028.4111    
         165  -1.55437505       15460.5068    
         166  -1.55499995       15472.9424    
         167  -1.56750000       15722.7031    
         168  -1.55562496       15485.3828    
         169  -1.54812503       15336.4258    
         170  -1.50312495       14457.8027    
         171  -1.50500000       14493.8955    
         172  -1.50687504       14530.0322    
         173  -1.52812505       14942.7275    
         174  -1.52312505       14845.1025    
         175  -1.50750005       14542.0879    
         176  -1.50562501       14505.9355    
         177  -1.51937497       14772.0938    
         178  -1.53499997       15077.4834    
         179  -1.54875004       15348.8115    
         180  -1.52625000       14906.0811    
         181  -1.53875005       15151.2422    
         182  -1.54812503       15336.4258    
         183  -1.52937496       14967.1836    
         184  -1.54499996       15274.5732    
         185  -1.56187499       15610.0635    
         186  -1.55187500       15410.8145    
         187  -1.54562497       15286.9336    
